CUSTOMER_CODE,INVOICE_CODE,AMOUNT,DATE
CUST0000031995,IN00095895,207.45,15-07-2013
CUST0000027656,IN00045588,878.6,27-06-2019
CUST0000086695,IN00094484,690.78,07-12-2014
CUST0000032875,IN00063202,298.39,05-05-2015
CUST0000049234,IN00038803,412.54,26-07-2012
CUST0000085044,IN00021872,771.47,27-06-2021
CUST0000088870,IN00044205,292.74,20-03-2014
CUST0000090614,IN00079565,424.26,28-10-2013
CUST0000064352,IN00056719,68.55,21-02-2019
CUST0000012275,IN00082779,516.97,04-01-2017
CUST0000019023,IN00026991,189.91,14-09-2019
CUST0000040804,IN00076666,443.57,11-07-2012
CUST0000082887,IN00096255,27.08,30-04-2015
CUST0000055827,IN00095715,599.85,18-01-2018
CUST0000090767,IN00063726,409.75,20-03-2020
CUST0000077369,IN00098662,49.59,29-04-2017
CUST0000057456,IN00079716,11.76,05-07-2011
CUST0000097573,IN00064549,316.57,06-09-2020
CUST0000060362,IN00094502,231.92,12-09-2014
CUST0000025008,IN00092152,128.87,24-05-2015
CUST0000029430,IN00062970,384.13,22-12-2014
CUST0000005208,IN00052254,26.81,14-10-2016
CUST0000055845,IN00063624,199.3,30-05-2018
CUST0000052309,IN00082778,421.62,08-12-2016
CUST0000038062,IN00059272,550.82,05-04-2020
CUST0000050926,IN00008298,520.03,17-04-2014
CUST0000015883,IN00090464,547.94,06-04-2020
CUST0000062296,IN00093222,62.91,12-12-2015
CUST0000006738,IN00000784,221.67,06-09-2013
CUST0000040862,IN00030915,816.45,16-03-2013
CUST0000085719,IN00030352,633.23,17-03-2016
CUST0000062971,IN00007429,309.27,19-08-2012
CUST0000037946,IN00093371,875.88,22-10-2019
CUST0000052081,IN00065103,201.83,20-12-2021
CUST0000084323,IN00093708,958.92,08-12-2017
CUST0000060278,IN00098692,301.18,20-08-2017
CUST0000060635,IN00091452,734.42,13-12-2018
CUST0000012346,IN00064912,794.76,17-06-2014
CUST0000001643,IN00000431,420.57,18-04-2018
CUST0000064700,IN00017594,110.15,01-05-2014
CUST0000074466,IN00081495,679.59,15-02-2012
CUST0000038458,IN00032924,31.31,12-02-2021
CUST0000060016,IN00052411,249.78,06-05-2012
CUST0000055296,IN00026142,653.75,16-05-2016
CUST0000050651,IN00054264,998.01,10-10-2012
CUST0000058865,IN00035822,355,22-11-2018
CUST0000036302,IN00071867,568.11,02-06-2012
CUST0000085009,IN00063284,975.88,09-07-2020
CUST0000092848,IN00065650,422.24,22-04-2021
CUST0000092525,IN00033201,798.23,17-02-2017
CUST0000064125,IN00014526,495.8,02-08-2013
CUST0000093819,IN00049712,284.84,02-02-2019
CUST0000041419,IN00009862,241.79,06-08-2016
CUST0000029584,IN00043753,842.65,04-01-2013
CUST0000036757,IN00011666,70.75,05-06-2020
CUST0000061090,IN00057187,756.11,18-02-2012
CUST0000075804,IN00081739,342.58,26-01-2016
CUST0000022685,IN00058941,899.31,26-07-2016
CUST0000008946,IN00023567,772.07,01-03-2021
CUST0000025394,IN00026832,800.95,01-06-2014
CUST0000095771,IN00002054,245.78,04-02-2015
CUST0000010102,IN00084652,609.56,09-06-2021
CUST0000017625,IN00068311,524.55,23-04-2015
CUST0000062573,IN00011427,888.94,15-02-2020
CUST0000096047,IN00023238,162.08,04-05-2013
CUST0000018804,IN00082378,580.79,15-02-2018
CUST0000009755,IN00065680,13.65,01-05-2019
CUST0000098944,IN00023689,915.03,03-06-2014
CUST0000021284,IN00045648,53.44,28-01-2012
CUST0000095986,IN00027015,717.29,22-01-2014
CUST0000067058,IN00053526,437.12,29-06-2011
CUST0000079251,IN00034952,278.46,17-12-2018
CUST0000069218,IN00016549,902.31,19-04-2013
CUST0000031168,IN00024825,521.06,20-06-2017
CUST0000056716,IN00066538,328.94,12-04-2013
CUST0000064874,IN00026089,600.81,12-03-2014
CUST0000094421,IN00044237,499.17,30-05-2016
CUST0000083304,IN00057385,114.72,04-11-2012
CUST0000032179,IN00052992,45.15,21-05-2014
CUST0000050949,IN00068325,766.31,17-11-2014
CUST0000082482,IN00079534,968.53,21-03-2011
CUST0000075291,IN00079788,293.84,04-10-2018
CUST0000064897,IN00093371,790.24,20-08-2017
CUST0000029601,IN00018367,403.75,07-04-2019
CUST0000046617,IN00059064,486.42,04-04-2016
CUST0000005515,IN00034596,469.9,01-04-2021
CUST0000013652,IN00072366,838.96,30-08-2016
CUST0000073015,IN00025158,828.95,26-03-2018
CUST0000044408,IN00081533,989.46,20-07-2019
CUST0000051011,IN00044492,796.04,13-07-2020
CUST0000090137,IN00068871,940.44,05-01-2018
CUST0000023225,IN00045048,288.22,07-06-2018
CUST0000028729,IN00021118,310.24,26-12-2015
CUST0000021556,IN00096235,725.98,14-02-2019
CUST0000061793,IN00037585,627.03,02-08-2019
CUST0000013016,IN00082258,303.09,07-12-2016
CUST0000082596,IN00046905,729.96,18-02-2012
CUST0000013714,IN00095733,936.37,23-12-2012
CUST0000021552,IN00088132,484.4,21-12-2021
CUST0000013210,IN00002300,670.04,02-03-2021
CUST0000048248,IN00050590,890.72,12-11-2021
CUST0000066719,IN00012866,450.47,29-03-2015
CUST0000000380,IN00019969,173.57,20-03-2012
CUST0000093998,IN00009370,847.63,05-03-2017
CUST0000022254,IN00070436,213.91,27-04-2014
CUST0000036903,IN00004704,132.13,14-02-2016
CUST0000028318,IN00064209,70.68,26-10-2021
CUST0000091350,IN00043750,418.06,25-08-2018
CUST0000008066,IN00066113,358.8,23-06-2017
