INVOICE_CODE,ITEM_CODE,AMOUNT,QUANTITY
IN00064618,ZOTXW,114.27,469
IN00095097,HUDNP,594.84,414
IN00012938,NDGJW,997.09,258
IN00018142,JHSIG,950.13,712
IN00099413,GXMEM,840.26,468
IN00064919,BTCQJ,104.17,714
IN00063101,IVNRZ,401.68,149
IN00016059,MATNT,231.27,476
IN00086543,QGXLV,538.75,144
IN00044774,IGTMF,232.56,506
IN00017972,GLHFK,685.4,394
IN00006235,CECMD,629.08,218
IN00024754,QJLMX,656.21,262
IN00006068,HFYZN,567.12,1000
IN00071958,QOOKA,126.14,673
IN00067712,JBECW,280.22,705
IN00010036,YUHEE,99.83,567
IN00039302,AZAFD,715.86,980
IN00074815,XLJLK,393.57,752
IN00097206,XHMQX,113,987
IN00063258,VBQJW,60.1,110
IN00031477,IPCJG,957.63,856
IN00019564,XSQFB,340.56,150
IN00067268,HSNHX,32.12,822
IN00025973,OKMZH,635.77,286
IN00011469,EIFOF,68.6,654
IN00087766,TEOSM,193.33,405
IN00027995,IPUID,838.93,529
IN00083660,IWCOI,765.36,521
IN00075862,GHMKR,776.17,636
IN00000390,QNMVH,328.74,554
IN00093005,PZWKO,406.92,260
IN00085942,PLBEQ,897.34,762
IN00009435,BMJAQ,967.11,749
IN00049011,ZDBWO,568.44,731
IN00054638,TJFBX,820.18,582
IN00068526,FCUTO,670.74,957
IN00039398,PENPN,797.5,791
IN00068902,RDZDG,896.62,22
IN00004618,HOWZB,684.54,687
IN00019020,MFYCJ,355.58,421
IN00071617,NDIXA,397.74,693
IN00063510,CINGA,526.37,348
IN00098130,OTQVK,736.4,730
IN00015247,LIDMA,30.54,132
IN00086020,KJWKH,748.45,301
IN00006527,FGAKE,67.39,950
IN00083235,ZXWMS,381.56,80
IN00092311,XHWCQ,853.81,654
IN00069829,LHUEE,85.96,323
IN00056758,TBMRD,753.06,100
IN00034315,JFXLB,991.28,101
IN00037183,ZWPXQ,103.18,145
IN00049783,PBPNF,294.01,225
IN00092727,YRBMB,562.1,806
IN00094623,JVWGB,328.1,824
IN00052549,RIASK,32.77,90
IN00097644,HOCBZ,904.57,858
IN00017786,KRAXG,158.35,394
IN00099545,DVHNT,18.53,312
IN00099950,EJTYX,713.1,549
IN00002168,GAQYR,511.01,981
IN00050327,EAUIR,623.47,240
IN00078529,KLMIT,568.39,142
IN00007783,LABKY,246.85,151
IN00070616,MXEBK,380.8,419
IN00085456,RPTUW,354.14,883
IN00064121,MYICT,553.64,749
IN00000210,LDGEA,343.48,309
IN00086255,VBARZ,792.27,814
IN00070391,VOPZE,11.33,355
IN00052130,YSALF,147.23,792
IN00044067,QSQJQ,391.53,628
IN00087995,HNXCB,907.96,703
IN00062333,ZHUYG,392.6,323
